"state","demographic_group","high_adi_predicted","low_adi_predicted","high_adi_observed","low_adi_observed","absolute_disparity_predicted","relative_disparity_predicted","absolute_disparity_observed","high_adi_mean_staternk","low_adi_mean_staternk","sample_size_high","sample_size_low"
"AZ","Older_American",0.982461729944194,0.984867902846781,0.983333333333333,0.981366459627329,0.00240617290258738,0.00244912634177008,-0.00196687370600412,7.69917641959254,1.71738188123104,2307,2307
"AZ","Servicemember",0.981043120962134,0.981645413893021,0.964757709251101,0.991150442477876,0.000602292930887427,0.000613931149424651,0.0263927332267748,7.69917641959254,1.71738188123104,2307,2307
"PA","General_Population",0.987050607857327,0.987845138088327,0.993604846852912,0.989068100358423,0.000794530230999624,0.000804953894637972,-0.00453674649448921,9.04624136529871,2.20445311230294,12305,12306
"PA","Older_American",0.986172939985022,0.988327572395496,0.964788732394366,0.987951807228916,0.00215463241047387,0.00218484235686556,0.0231630748345494,9.04624136529871,2.20445311230294,12305,12306
"PA","Servicemember",0.985433405254298,0.985963828246005,0.985663082437276,0.979938271604938,0.000530422991706692,0.000538263660312843,-0.00572481083233778,9.04624136529871,2.20445311230294,12305,12306
"NC","General_Population",0.983689723726128,0.98456453742478,0.987823028007036,0.985794693111767,0.000874813698651944,0.000889318732880673,-0.0020283348952691,7.96979141692641,1.99304806424546,8342,8343
"NC","Older_American",0.982875183949491,0.985223641799331,0.970059880239521,0.979827089337176,0.00234845784983961,0.00238937546515605,0.00976720909765483,7.96979141692641,1.99304806424546,8342,8343
"NC","Servicemember",0.981585398809372,0.982170289232529,0.983418367346939,0.98876404494382,0.000584890423157791,0.000595863002716968,0.00534567759688154,7.96979141692641,1.99304806424546,8342,8343
"GA","General_Population",0.983707509676835,0.98452682381533,0.988296488946685,0.986258124419684,0.000819314138494787,0.000832883891233038,-0.00203836452700112,7.71780577544876,2.12386420647752,17938,17939
"GA","Older_American",0.98296025788543,0.985157501764252,0.977941176470588,0.973534971644612,0.00219724387882159,0.00223533338321169,-0.00440620482597576,7.71780577544876,2.12386420647752,17938,17939
"GA","Servicemember",0.981587810038672,0.982135721581538,0.980883322346737,0.982470119521912,0.000547911542865709,0.000558189025232636,0.00158679717517496,7.71780577544876,2.12386420647752,17938,17939
"MA","General_Population",0.987844399441567,0.988581034393461,0.986881335718545,0.985749690210657,0.000736634951894244,0.000745699375641173,-0.00113164550788836,8.90085611709473,2.15129762562121,3621,3622
"MA","Older_American",0.987049046441271,0.989043635163105,0.985074626865672,0.982142857142857,0.00199458872183456,0.00202075948406599,-0.0029317697228145,8.90085611709473,2.15129762562121,3621,3622
"MA","Servicemember",0.986317361786355,0.986809425860971,0.984962406015038,0.964912280701754,0.000492064074615994,0.000498890208852076,-0.0200501253132832,8.90085611709473,2.15129762562121,3621,3622
"MD","General_Population",0.985794548718247,0.98655370796367,0.988578484334002,0.98546226723293,0.000759159245423136,0.00077009884707735,-0.00311621710107157,8.63455482393358,2.69242879633606,6986,6987
"MD","Older_American",0.98492933574604,0.986988673901734,0.962962962962963,0.989974937343358,0.00205933815569403,0.00209084863345477,0.0270119743803954,8.63455482393358,2.69242879633606,6986,6987
"MD","Servicemember",0.983997938552486,0.984504506157448,0.976811594202899,0.967811158798283,0.000506567604962149,0.000514805555088094,-0.00900043540461515,8.63455482393358,2.69242879633606,6986,6987
"TN","General_Population",0.98135463159924,0.982570707493072,0.993862520458265,0.978865406006675,0.00121607589383188,0.00123918087781383,-0.0149971144515905,9.43640652643994,2.10811873402791,5087,5087
"TN","Older_American",0.979978814419056,0.983283826817863,0.96078431372549,0.948863636363636,0.00330501239880709,0.00337253453868414,-0.0119206773618539,9.43640652643994,2.10811873402791,5087,5087
"TN","Servicemember",0.979072162468397,0.97988229709365,0.993243243243243,0.980769230769231,0.000810134625253478,0.000827451393583756,-0.0124740124740125,9.43640652643994,2.10811873402791,5087,5087
"LA","General_Population",0.984309490888792,0.985129939595933,0.992195367573011,0.987315010570824,0.000820448707141375,0.000833527172841242,-0.00488035700218681,8.10751139908809,2.28838771593091,4167,4168
"LA","Older_American",0.98349029965854,0.985700014129501,0.972602739726027,0.983193277310924,0.00220971447096074,0.00224680860780024,0.0105905375848969,8.10751139908809,2.28838771593091,4167,4168
"LA","Servicemember",0.982292965232453,0.982841159882795,0.967213114754098,0.984905660377358,0.000548194650341505,0.000558076530876583,0.0176925456232602,8.10751139908809,2.28838771593091,4167,4168
"HI","General_Population",0.982146725120154,0.982951845677851,0.985138004246285,0.988179669030733,0.000805120557697436,0.000819755884843953,0.00304166478444834,8.65454545454545,3.64363636363637,550,550
"HI","Older_American",0.981057767877721,0.983257202882476,1,0.96,0.00219943500475495,0.00224190162574511,-0.04,8.65454545454545,3.64363636363637,550,550
"HI","Servicemember",0.979899695075599,0.9804354259782,0.945454545454546,0.974025974025974,0.000535730902601506,0.000546720144208424,0.0285714285714285,8.65454545454545,3.64363636363637,550,550
"MN","General_Population",0.984436240853459,0.985193119444365,0.983031674208145,0.984144960362401,0.000756878590905341,0.000768844704710503,0.00111328615425599,7.79877738155884,2.39765784114053,1963,1964
"MN","Older_American",0.983701482132553,0.985736697656415,0.985507246376812,0.981981981981982,0.00203521552386232,0.00206893611611747,-0.0035252643948297,7.79877738155884,2.39765784114053,1963,1964
"MN","Servicemember",0.982415073308986,0.982921000094504,0.984126984126984,1,0.000505926785518751,0.000514982718877288,0.0158730158730159,7.79877738155884,2.39765784114053,1963,1964
"VT","General_Population",0.985688109692479,0.986525335698773,0.991869918699187,0.975,0.000837226006293768,0.000849382272202659,-0.016869918699187,8.57971014492754,2.05755395683453,138,139
